127.0.0.1 - - [12/Feb/2024:17:54:18 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:54:18 +0530] "GET /RegistrationApp/ HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:54:18 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:54:27 +0530] "GET /RegistrationApp/Registrationform.html HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:55:06 +0530] "GET /RegistrationApp/RegistrationformServlet?username=ggegreg&password=rgrg&mobile=64646&email=ff%40545&gender=MALE&dob=2024-02-14&qualification=MSC&qualification=BTECH&qualification=MTECH&country=India&Languages=Telugu&Languages=Hindi&Languages=Kanada&comments=%09%09%09%09%0D%0A%09gfxgfxfffcf%0D%0A%09%09 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:56:23 +0530] "GET /RegistrationApp/RegistrationformServlet?username=ggegreg&password=rgrg&mobile=64646&email=ff%40545&gender=MALE&dob=2024-02-14&qualification=MSC&qualification=BTECH&qualification=MTECH&country=India&Languages=Telugu&Languages=Hindi&Languages=Kanada&comments=%09%09%09%09%0D%0A%09gfxgfxfffcf%0D%0A%09%09 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:56:26 +0530] "GET /RegistrationApp/RegistrationformServlet?username=ggegreg&password=rgrg&mobile=64646&email=ff%40545&gender=MALE&dob=2024-02-14&qualification=MSC&qualification=BTECH&qualification=MTECH&country=India&Languages=Telugu&Languages=Hindi&Languages=Kanada&comments=%09%09%09%09%0D%0A%09gfxgfxfffcf%0D%0A%09%09 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:56:26 +0530] "GET /RegistrationApp/RegistrationformServlet?username=ggegreg&password=rgrg&mobile=64646&email=ff%40545&gender=MALE&dob=2024-02-14&qualification=MSC&qualification=BTECH&qualification=MTECH&country=India&Languages=Telugu&Languages=Hindi&Languages=Kanada&comments=%09%09%09%09%0D%0A%09gfxgfxfffcf%0D%0A%09%09 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:56:26 +0530] "GET /RegistrationApp/RegistrationformServlet?username=ggegreg&password=rgrg&mobile=64646&email=ff%40545&gender=MALE&dob=2024-02-14&qualification=MSC&qualification=BTECH&qualification=MTECH&country=India&Languages=Telugu&Languages=Hindi&Languages=Kanada&comments=%09%09%09%09%0D%0A%09gfxgfxfffcf%0D%0A%09%09 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:56:26 +0530] "GET /RegistrationApp/RegistrationformServlet?username=ggegreg&password=rgrg&mobile=64646&email=ff%40545&gender=MALE&dob=2024-02-14&qualification=MSC&qualification=BTECH&qualification=MTECH&country=India&Languages=Telugu&Languages=Hindi&Languages=Kanada&comments=%09%09%09%09%0D%0A%09gfxgfxfffcf%0D%0A%09%09 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:56:26 +0530] "GET /RegistrationApp/RegistrationformServlet?username=ggegreg&password=rgrg&mobile=64646&email=ff%40545&gender=MALE&dob=2024-02-14&qualification=MSC&qualification=BTECH&qualification=MTECH&country=India&Languages=Telugu&Languages=Hindi&Languages=Kanada&comments=%09%09%09%09%0D%0A%09gfxgfxfffcf%0D%0A%09%09 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:56:27 +0530] "GET /RegistrationApp/RegistrationformServlet?username=ggegreg&password=rgrg&mobile=64646&email=ff%40545&gender=MALE&dob=2024-02-14&qualification=MSC&qualification=BTECH&qualification=MTECH&country=India&Languages=Telugu&Languages=Hindi&Languages=Kanada&comments=%09%09%09%09%0D%0A%09gfxgfxfffcf%0D%0A%09%09 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:56:27 +0530] "GET /RegistrationApp/RegistrationformServlet?username=ggegreg&password=rgrg&mobile=64646&email=ff%40545&gender=MALE&dob=2024-02-14&qualification=MSC&qualification=BTECH&qualification=MTECH&country=India&Languages=Telugu&Languages=Hindi&Languages=Kanada&comments=%09%09%09%09%0D%0A%09gfxgfxfffcf%0D%0A%09%09 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:56:27 +0530] "GET /RegistrationApp/RegistrationformServlet?username=ggegreg&password=rgrg&mobile=64646&email=ff%40545&gender=MALE&dob=2024-02-14&qualification=MSC&qualification=BTECH&qualification=MTECH&country=India&Languages=Telugu&Languages=Hindi&Languages=Kanada&comments=%09%09%09%09%0D%0A%09gfxgfxfffcf%0D%0A%09%09 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:56:27 +0530] "GET /RegistrationApp/RegistrationformServlet?username=ggegreg&password=rgrg&mobile=64646&email=ff%40545&gender=MALE&dob=2024-02-14&qualification=MSC&qualification=BTECH&qualification=MTECH&country=India&Languages=Telugu&Languages=Hindi&Languages=Kanada&comments=%09%09%09%09%0D%0A%09gfxgfxfffcf%0D%0A%09%09 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:56:27 +0530] "GET /RegistrationApp/RegistrationformServlet?username=ggegreg&password=rgrg&mobile=64646&email=ff%40545&gender=MALE&dob=2024-02-14&qualification=MSC&qualification=BTECH&qualification=MTECH&country=India&Languages=Telugu&Languages=Hindi&Languages=Kanada&comments=%09%09%09%09%0D%0A%09gfxgfxfffcf%0D%0A%09%09 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:56:27 +0530] "GET /RegistrationApp/RegistrationformServlet?username=ggegreg&password=rgrg&mobile=64646&email=ff%40545&gender=MALE&dob=2024-02-14&qualification=MSC&qualification=BTECH&qualification=MTECH&country=India&Languages=Telugu&Languages=Hindi&Languages=Kanada&comments=%09%09%09%09%0D%0A%09gfxgfxfffcf%0D%0A%09%09 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:56:28 +0530] "GET /RegistrationApp/RegistrationformServlet?username=ggegreg&password=rgrg&mobile=64646&email=ff%40545&gender=MALE&dob=2024-02-14&qualification=MSC&qualification=BTECH&qualification=MTECH&country=India&Languages=Telugu&Languages=Hindi&Languages=Kanada&comments=%09%09%09%09%0D%0A%09gfxgfxfffcf%0D%0A%09%09 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:56:28 +0530] "GET /RegistrationApp/RegistrationformServlet?username=ggegreg&password=rgrg&mobile=64646&email=ff%40545&gender=MALE&dob=2024-02-14&qualification=MSC&qualification=BTECH&qualification=MTECH&country=India&Languages=Telugu&Languages=Hindi&Languages=Kanada&comments=%09%09%09%09%0D%0A%09gfxgfxfffcf%0D%0A%09%09 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:56:33 +0530] "GET /RegistrationApp/RegistrationformServlet?username=ggegreg&password=rgrg&mobile=64646&email=ff%40545&gender=MALE&dob=2024-02-14&qualification=MSC&qualification=BTECH&qualification=MTECH&country=India&Languages=Telugu&Languages=Hindi&Languages=Kanada&comments=%09%09%09%09%0D%0A%09gfxgfxfffcf%0D%0A%09%09 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:58:01 +0530] "GET /RegistrationApp/RegistrationformServlet?username=ggegreg&password=rgrg&mobile=64646&email=ff%40545&gender=MALE&dob=2024-02-14&qualification=MSC&qualification=BTECH&qualification=MTECH&country=India&Languages=Telugu&Languages=Hindi&Languages=Kanada&comments=%09%09%09%09%0D%0A%09gfxgfxfffcf%0D%0A%09%09 HTTP/1.1" 404 794
